S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00005089	ArtinPrimitiveRootsConjecture.artin_primitive_roots.variants.part_ii_power_squarefreePart_modeq_one	**Artin's Conjecture on Primitive Roots**, second half, power version If $a = b^m$ is a perfect power of a number $b$ whose squarefree part $b_0\equiv 1 \pmod{4}$, then the density of the set $S(a)$ of primes $p$ such that $a$ is a primitive root modulo $p$ is given by $$C \left(\prod_{p \mid m} \frac{p(p-2)}{(p ^ 2 - p - 1)}\right) \left(1 - \prod_{p \mid \gcd(b_0, m)} \frac{1}{2 - p} \prod_{p \mid b_0, p\nmid m} \frac{1}{(1 + p - p ^ 2)}\right),$$ where $C$ is Artin's constant.	(a m b : ℕ) (ha : a = b ^ m) (hb : ∀ u v, 1 < u → b ≠ v ^ u) (hm₁ : 1 < m)     (hm₂ : Odd m) (hb' : b.squarefreePart ≡ 1 [MOD 4]) :     (S a).HasDensity       (ArtinConstant * powCorrectionFactor m * entanglementFactor b m)       {p | p.Prime}
S5-CLM-00005090	ArtinPrimitiveRootsConjecture.artin_primitive_roots.variants.part_ii_power_squarefreePart_not_modeq_one	**Artin's Conjecture on Primitive Roots**, second half, power version If $a = b^m$ is a perfect odd power of a number $b$ whose squarefree part $b_0\not\equiv 1 \pmod{4}$, then the density of the set $S(a)$ of primes $p$ such that $a$ is a primitive root modulo $p$ is given by $$C\prod_{p \mid m} \frac{p(p - 2)}{p^2 - p - 1}$$, where $C$ is Artin's constant.	(a m b : ℕ) (ha : a = b ^ m) (hb : ∀ u v, 1 < u → b ≠ v^u) (hm₁ : 1 < m)     (hm₂ : Odd m) (hb' : ¬ b.squarefreePart ≡ 1 [MOD 4]) :     (S a).HasDensity (ArtinConstant * powCorrectionFactor m) {p | p.Prime}
S5-CLM-00005094	BatemanHornConjecture.bateman_horn_conjecture	**The Bateman-Horn Conjecture** Given a finite collection of distinct irreducible polynomials non-constant $f_1, f_2, \dots, f_k \in \mathbb{Z}[x]$ with positive leading coefficients that satisfy the Schinzel condition, the number of positive integers n ≤ x for which all polynomials $f_i$ are simultaneously prime is asymptotic to: $$C(f_1, f_2, \dots, f_k) x / (log x)^k$$ where $C$ is the Bateman-Horn constant given by the convergent infinite product: $$C = \frac{1}{D}\prod_{p\in\mathbb{P}} (1 - 1/p)^(-k) · (1 - \omega_p/p)$$ Here $\omega_p/p$ is the number of residue classes modulo $p$ for which at least one polynomial vanishes.  The Schinzel condition ensures that for each prime $p$, there exists some integer $n$ such that $p$ does not divide the product $f_(n) f_2(n) \dotsb f_(n)$, which guarantees the infinite product converges to a positive value.	(polys : Finset ℤ[X])     (h_nonempty : polys.Nonempty)     (h_irreducible : ∀ f ∈ polys, BunyakovskyCondition f)     (h_compat : SchinzelCondition polys) :     (fun x : ℝ => (CountSimultaneousPrimes polys x : ℝ)) ~[atTop]     (fun x : ℝ => BatemanHornConstant polys * x / (Real.log x) ^ polys.card)
S5-CLM-00005095	BealConjecture.beal_conjecture	The **Beal Conjecture**: if we are given positive integers $A, B, C, x, y, z$ such that $x, y, z > 2$ and $A^x + B^y = C^z$ then $A, B, C$ have a common divisor.	: bealConjecture
S5-CLM-00005096	BeckFiala.beck_fiala_conjecture	**The Beck–Fiala conjecture**  There exists a universal constant $C > 0$ such that every set system $S_1, \dots, S_m \subseteq [n]$ of degree at most $t$ admits a colouring $\chi \colon [n] \to \{-1, +1\}$ with $\left|\sum_{j \in S_i} \chi(j)\right| \le C \sqrt{t}$ for every $i$.	:     ∃ C : ℝ, 0 < C ∧ ∀ (n m t : ℕ) (S : Fin m → Finset (Fin n)),       (∀ j, (Finset.univ.filter fun i => j ∈ S i).card ≤ t) →       ∃ χ : Fin n → ℝ, (∀ j, χ j = 1 ∨ χ j = -1) ∧         ∀ i, |∑ j ∈ S i, χ j| ≤ C * Real.sqrt t
S5-CLM-00005100	BingBorsuk.bing_borsuk_conjecture	The Bing-Borsuk Conjecture: every $n$-dimensional homogeneous absolute neighborhood retract is a topological $n$-manifold. A topological space $X$ is an $n$-dimensional manifold when `T2Space X ∧ Nonempty (ChartedSpace (Fin n → ℝ) X)`. The hypothesis `[MetrizableSpace X]` implies `T2Space X` so this does not appear in the conclusion.	: ∀ n : ℕ, ∀ (X : Type) [TopologicalSpace X] [MetrizableSpace X] [HomogeneousSpace X] [IsAbsoluteNeighborhoodRetract X],     HasLebesgueCoveringDimensionEq X n → Nonempty (ChartedSpace (Fin n → ℝ) X)
S5-CLM-00005101	Bloch.blochConstant_exact_value	Ahlfors and Grunsky also conjectured in [AG37] that this upper bound is the precise value of the Bloch constant.	:     blochConstant = Real.Gamma (1 / 3) * Real.Gamma (11 / 12) /     (Real.Gamma (1 / 4) * Real.sqrt (1 + Real.sqrt 3))
S5-CLM-00005104	Bloch.landauConstant_exact_value	In [Ra43], Rademacher says that he strongly believed that this upper bound is the precise value of the Landau constant.	:     landauConstant = Real.Gamma (1 / 3) * Real.Gamma (5 / 6) / Real.Gamma (1 / 6)
S5-CLM-00005110	BrennanConjecture.brennan_universalSpectrum	Brennan's conjecture, part 1: $B(-2) = 1$.	:     universalSpectrum (-2) = 1
S5-CLM-00005111	BrennanConjecture.brennan_universalSpectrumBounded	Brennan's conjecture, part 2: $B_b(-2) = 1$.	:     universalSpectrumBounded (-2) = 1
S5-CLM-00005112	Brocard.brocard_conjecture	**Brocard's Conjecture** For every `n ≥ 2`, between the squares of the `n`-th and `(n+1)`-th primes, there are at least four prime numbers.	(n : ℕ) (hn : 1 ≤ n) :     letI prev := n.nth Nat.Prime;     letI next := (n+1).nth Nat.Prime;     4 ≤ ((Ioo (prev^2) (next^2)).filter Nat.Prime).card
S5-CLM-00005115	Buchi.buchi_problem_M5	**Büchi's problem (first open case, $M = 5$)**: For all integers $x$ and $a$, if $(x+n)^2 + a$ is a perfect square for $n = 0, 1, 2, 3, 4$, then $a = 0$.  Non-trivial sequences of length 3 and 4 are known to exist, so $M = 5$ is the first open case.	: IsBuchi 5
S5-CLM-00005116	Bunyakovsky.bunyakovsky_conjecture	**Bunyakovsky conjecture** If a polynomial $f$ over integers satisfies both Schinzel and Bunyakovsky conditions, there exist infinitely many natural numbers $m$ such that $f(m)$ is prime.	(f : ℤ[X]) :     BunyakovskyCondition f ∧ SchinzelCondition {f} →     Infinite {n : ℕ | (f.eval (n : ℤ)).natAbs.Prime}
S5-CLM-00005120	CarmichaelTotient.charmichaelTotient	*Carmichael's totient function conjecture*: For every positive natural number $n$, there exists a natural number $m$ with $m ≠ n$, such that $φ(n) = φ(m)$.	:     ∀ ⦃n : ℕ⦄, 0 < n → CarmichaelTotientFor n
S5-CLM-00005122	Catalan.pillais_conjecture	For positive integers a, b, and c, there are only finitely many positive solutions (x, y, m, n) to the equation $ax^n - by^m = c$ where $(m, n) \neq (2, 2)$ and $x, y > 1$.	(a b c : ℕ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c) :     { (x, y, m, n) : (ℕ × ℕ × ℕ × ℕ) |       1 < x ∧ 1 < y ∧ 1 < m ∧ 1 < n ∧ (m, n) ≠ (2, 2) ∧       a * x^n - b * y^m = c }.Finite
S5-CLM-00005123	LebesgueNagell.lebesgue_nagell	**Lebesgue-Nagell Equation Conjecture**  For any odd prime $p$, the only integer solutions $(x, y)$ to the equation $x^2 - 2 = y^p$ are $(x, y) = (\pm 1, -1)$.  *Reference:* Ethan Katz and Kyle Pratt, "On the Lebesgue-Nagell equation $x^2 - 2 = y^p$", [arXiv:2507.12397](https://arxiv.org/abs/2507.12397)	(p : ℕ) (hp : p.Prime) (hodd : Odd p) (x y : ℤ) :     x ^ 2 - 2 = y ^ p ↔ (x = 1 ∨ x = -1) ∧ y = -1
S5-CLM-00005126	ClassNumberProblem.class_number_problem	There are infinitely many real quadratic fields `ℚ(√d)` with class number one, where `d > 1` is a squarefree integer.	:     { d : ℤ | Squarefree d ∧ d > 1 ∧ IsClassNumberOne d }.Infinite
S5-CLM-00005128	CollatzConjecture.collatz_conjecture	Now form a sequence beginning with any positive integer, where each subsequent term is obtained by applying the operation defined above to the previous term. The **Collatz conjecture** states that for any positive integer $n$, there exists a natural number $m$ such that the $m$-th term of the sequence is 1.	(n : ℕ) (hn : n > 0) : ∃ m, collatzStep^[m] n = 1
S5-CLM-00005130	CongruentNumber.Tunnell_even_converse	Tunnell's theorem (sufficient condition assuming BSD) for even squarefree congruent numbers.	(n : ℕ) (hsqf : Squarefree n) (heven : Even n) :     2 * (C n).ncard = (D n).ncard → congruentNumber n
S5-CLM-00005132	CongruentNumber.Tunnell_odd_converse	Tunnell's theorem (sufficient condition assuming BSD) for odd squarefree congruent numbers.	(n : ℕ) (hsqf : Squarefree n) (hodd : Odd n) :     2 * (A n).ncard = (B n).ncard → congruentNumber n
S5-CLM-00005137	DeterminantalConjecture.determinantal_conjecture	Does the determinant of the sum $A + B$ of two $n \times n$ normal complex matrices $A$ and $B$ always lie in the convex hull of the $n!$ points $\prod_i (\lambda(A)_i + \lambda(B)_{\sigma(i)})$? Here the numbers $\lambda(A)_i$ and $\lambda(B)_i$ are the eigenvalues of $A$ and $B$, and $\sigma$ is an element of the symmetric group $S_n$.	(n : Type) [Fintype n] [DecidableEq n]     (d1 d2 : n → ℂ) (U1 U2 : unitary (Matrix n n ℂ)) :     (U1 * Matrix.diagonal d1 * star U1 + U2 * Matrix.diagonal d2 * star U2).det       ∈ convexHull ℝ { ∏ i, (d1 i + d2 (σ i)) | σ : Equiv.Perm n }
S5-CLM-00005138	BabaiSeressConjectures.babai_seress_conjecture	**Babai–Seress Conjecture (Conjecture 1.7)**: There exists an absolute constant $C$ such that every finite simple non-abelian group $G$ satisfies $$\operatorname{diam}(G) \leq (\log |G|)^C.$$  *Reference:* [L. Babai and Á. Seress, *On the diameter of permutation groups*, European Journal of Combinatorics 13 (1992), Conjecture 1.7](https://doi.org/10.1016/S0195-6698(05)80029-0)	:     ∃ C : ℕ,     ∀ (G : Type) [Group G] [Fintype G] [IsSimpleGroup G],     (∃ a b : G, a * b ≠ b * a) →     (groupDiam G : ℝ) ≤ (Real.log (Fintype.card G : ℝ)) ^ C
S5-CLM-00005139	BabaiSeressConjectures.babai_seress_conjecture_alternating	**Babai–Seress Conjecture (Conjecture 1.5)**: There exists an absolute constant $C$ such that the diameter of the alternating group $A_n$ satisfies $$\operatorname{diam}(A_n) \leq n^C.$$  *Reference:* [L. Babai and Á. Seress, *On the diameter of permutation groups*, European Journal of Combinatorics 13 (1992), Conjecture 1.5](https://doi.org/10.1016/S0195-6698(05)80029-0)	:     ∃ C : ℕ, ∀ n : ℕ,     (groupDiam (alternatingGroup (Fin n)) : ℝ) ≤ (n : ℝ) ^ C
S5-CLM-00005140	Dickson.dickson_conjecture	**Dickson's conjecture** If a finite set of linear integer forms $f_i(n) = a_i n+b_i$ satisfies Schinzel condition, there exist infinitely many natural numbers $m$ such that $f_i(m)$ are primes for all $i$.	(fs : Finset ℤ[X]) (hfs : ∀ f ∈ fs, f.degree = 1 ∧ BunyakovskyCondition f)     (hfs' : SchinzelCondition fs) : Infinite {n : ℕ | ∀ f ∈ fs, (f.eval (n : ℤ)).natAbs.Prime}
S5-CLM-00005141	Dickson.infinite_cousin_primes	**The infinitude of cousin primes** There are infinitely many primes $p$ such that $p + 4$ is prime.	:     Infinite {p : ℕ | Prime p ∧ Prime (p + 4)}
S5-CLM-00005142	Dickson.infinite_safe_primes	**The infinitude of Sophie Germain primes** There are infinitely many primes $p$ such that $2p + 1$ is prime.	:     Infinite {p : ℕ | Prime p ∧ Prime (2 * p + 1)}
S5-CLM-00005143	Dickson.infinite_sexy_primes	**The infinitude of sexy primes** There are infinitely many primes $p$ such that $p + 6$ is prime.	:     Infinite {p : ℕ | Prime p ∧ Prime (p + 6)}
S5-CLM-00005144	Dickson.polignac_conjecture	**Polignac's conjecture** For any integer $k$ there are infinitely many primes $p$ such that $p + 2k$ is prime.	(k : ℕ) :     Infinite {p : ℕ | p.Prime ∧ (p + 2 * k).Prime}
S5-CLM-00005145	ElliottHalberstamConjecture.elliott_halberstam	The Elliott–Halberstam conjecture: for every $\theta < 1$ and $A > 0$ there exists a constant $C > 0$ such that $$\sum_{1 \le q \le x^{\theta}} E(x; q) \le \frac{C x}{\log^A x}$$ for all $x > 2$.	(θ : ℝ) (hθ : θ < 1) (A : ℝ) (hA : 0 < A) :     ∃ C > (0 : ℝ), ∀ x : ℕ, 2 < x →       ∑ q ∈ Finset.Icc 1 ⌊(x : ℝ) ^ θ⌋₊, E x q ≤ C * x / Real.log x ^ A
S5-CLM-00005151	EllipticCurveRank.RatEllipticCurve.finite_twentyone_lt_finrank	From [PPVW2016], Section 8.2: "Our heuristic predicts (a) All but finitely many E ∈ ℰ satisfy rk E(ℚ) ≤ 21". In other words, there are only finitely many elliptic curves over ℚ (up to isomorphism) with rank greater than 21. Notice that this contradicts the previous conjecture.	: {E : RatEllipticCurve | 21 < E.rank}.Finite
S5-CLM-00005152	EllipticCurveRank.RatEllipticCurve.half_rank_zero_and_half_rank_one	Conjecture by Goldfeld and Katz–Sarnak: if elliptic curves over ℚ are ordered by their heights, then 50% of the curves have rank 0 and 50% have rank 1. See p. 28 of https://people.maths.bris.ac.uk/~matyd/BSD2011/bsd2011-Bhargava.pdf.	(r : ℕ) (hr : r = 0 ∨ r = 1) :     atTop.Tendsto       (fun H ↦ ({E ∈ heightLE H | E.rank = r}.ncard / (heightLE H).ncard : ℝ)) (𝓝 (1 / 2))
S5-CLM-00005153	EllipticCurveRank.RatEllipticCurve.rank_height_count_asymptotic	[PPVW2016] 8.2(b): for 1 ≤ r ≤ 20, the number of elliptic curves over ℚ with rank `r` and naïve height at most `H` is asymptotically `H ^ ((21 - r) / 24 + o(1))`. Note: ℰ_H in 8.2(b) should be ℰ_{≤H}, see the statement of Theorem 7.3.3. When `r = 1`, the exponent is `20 / 24 = 5 / 6`, which agrees with the exponent in `card_heightLE_div_pow_five_div_six_tensto` and is consistent with `half_rank_zero_and_half_rank_one`.	(r : ℕ) (h₁ : 1 ≤ r) (h₂ : r ≤ 20) :     ∃ f : ℕ → ℝ, atTop.Tendsto f (𝓝 0) ∧       ∀ H : ℕ, 1 < H → {E ∈ heightLE H | r ≤ E.rank}.ncard = (H : ℝ) ^ ((21 - r) / 24 + f H)
S5-CLM-00005154	EllipticCurveRank.RatEllipticCurve.twentyone_le_rank_height_count_asymptotic	[PPVW2016] 8.2(c): the number of elliptic curves over ℚ with rank ≥ 21 and naïve height at most `H` is asymptotically at most `H ^ o(1)`.	:     ∃ f : ℕ → ℝ, atTop.Tendsto f (𝓝 0) ∧       ∀ H : ℕ, 1 < H → {E ∈ heightLE H | 21 ≤ E.rank}.ncard ≤ (H : ℝ) ^ f H
S5-CLM-00005155	EllipticCurveRank.RatEllipticCurve.unbounded_rank_conjecture	From [PPVW2016], Section 3.1: "from the mid-1960s to the present, it seems that most experts conjectured unboundedness."	(n : ℕ) : ∃ E : RatEllipticCurve, n ≤ E.rank
S5-CLM-00005156	EllipticCurveRank.WeierstrassCurve.rank_elkies28	The rank of the Elkies curve is exactly 28.	: finrank ℤ elkies28⟮ℚ⟯ = 28
S5-CLM-00005157	EllipticCurveRank.WeierstrassCurve.rank_elkiesKlagsbrun29	The rank of the Elkies-Klagsbrun curve is exactly 29.	: finrank ℤ elkiesKlagsbrun29⟮ℚ⟯ = 29
S5-CLM-00005160	ErdosMoser.erdos_moser_conjecture	The only positive solution of $S_k(m)=m^k$ is $(k,m)=(1,3)$.	:     ∀ k m : ℕ, 0 < k → 0 < m → powerSum k m = m ^ k → k = 1 ∧ m = 3
S5-CLM-00005164	EulerBrick.cuboidThree	The third Cuboid conjecture	: CuboidThree
S5-CLM-00005165	EulerBrick.cuboidTwo	The second Cuboid conjecture	: CuboidTwo
S5-CLM-00005170	EulerSumOfPowers.eulers_sum_of_powers_conjecture	Euler's sum of powers conjecture states that for integers $n > 1$ and $k > 1$, if the sum of $n$ positive integers each raised to the $k$-th power equals another integer raised to the $k$-th power, then $n ≥ k$.  The conjecture is known to be false for $k = 4$ and $k = 5$, but remains open for $k ≥ 6$.	(n k b : ℕ) (hn : 1 < n) (hk : 5 < k) (a : Fin n → ℕ)     (ha : ∀ i, a i > 0) (hsum : ∑ i, (a i) ^ k = b ^ k) : k ≤ n
S5-CLM-00005173	Exponentials.four_exponentials_conjecture	**Four exponentials conjecture** Let $x_0, x_1$ and $y_0, y_1$ be $\mathbb Q$-linearly independent pairs of complex numbers, then some $e^{x_i y_j}$ is transcendental.	(x : Fin 2 → ℂ) (y : Fin 2 → ℂ)     (h1 : LinearIndependent ℚ x) (h2 : LinearIndependent ℚ y) :     ∃ i j : Fin 2, Transcendental ℚ (exp (x i * y j))
S5-CLM-00005174	Exponentials.two_pow_three_pow_transcendental	The four exponential conjecture would imply that for any irrational number $t$, at least one of the numbers $2^t$ and $3^t$ is transcendental.	(t : ℝ) (h : Irrational t) :     Transcendental ℚ (2 ^ t : ℝ) ∨ Transcendental ℚ (3 ^ t : ℝ)
S5-CLM-00005175	FactorialPrime.infinitely_many_factorial_primes	There are infinitely many factorial primes.	:     Set.Infinite {p : ℕ | IsFactorialPrime p}
S5-CLM-00005176	FeitThompsonPrimeConjecture.feit_thompson_primes	There are no distinct primes $p$ and $q$ such that $\frac{q^p - 1}{q - 1}$ divides $\frac{p^q - 1}{p - 1}$	(p q : ℕ) (hp : p.Prime) (hq : q.Prime) (h : p < q) :     ¬ (q ^ p - 1) / (q - 1) ∣ (p ^ q - 1) / (p - 1)
S5-CLM-00005181	FermatCatalanConjecture.fermat_catalan	The **Fermat–Catalan conjecture** states that the equation $a^m + b^n = c^k$ has only finitely many solutions $(a,b,c,m,n,k)$ with distinct triplets of values $(a^m, b^n, c^k)$ where $a, b, c$ are positive coprime integers and $m, n, k$ are positive integers satisfying $\frac 1 m + \frac 1 n + \frac 1 k < 1$.	: fermatCatalanConjecture
S5-CLM-00005183	FibonacciPrimes.fib_primes_infinite	There are infinitely many Fibonacci primes, i.e., Fibonacci numbers that are prime It is also a barrier to defining a benchmark from this paper: https://arxiv.org/html/2505.13938v1 (see Figure 8).	: {n : ℕ | (∃ m : ℕ, m.fib = n) ∧ n.Prime}.Infinite
S5-CLM-00005184	FibonacciPrimes.fib_primes_infinite.variant	There are infinitely many indices $i$, such that the $i$-th Fibonacci is prime.	: {n : ℕ | n.fib.Prime}.Infinite
S5-CLM-00005185	Firoozbakht.firoozbakht_conjecture	**Firoozbakht's conjecture** The inequality $\sqrt[n+1]{p_{n+1}} < \sqrt[n]{p_n}$ holds for all prime numbers $p_n$.	(n : ℕ) :     firoozbakhtSeq (n+1) < firoozbakhtSeq n
S5-CLM-00005192	GapConjecture.gap_conjecture	If a finitely generated group has superpolynomial growth, then with respect to any finite generating set its growth function is at least $e^{\sqrt n}$ in Grigorchuk's preorder on growth functions, where the comparison is witnessed by linearly rescaling the radius.	:     ∀ (G : Type) [Group G] (S : Set G), S.Finite → Subgroup.closure S = ⊤ →       HasSuperPolynomialGrowth G →       ∃ C : ℕ, 0 < C ∧         ∀ᶠ n : ℕ in atTop, Real.exp (Real.sqrt (n : ℝ)) ≤           (GrowthFunction S (C * n) : ℝ)
S5-CLM-00005193	GaussCircleProblem.error_isBigO	It is conjectured that the correct bound is $$   |E(r)| = O\left(r^{1/2 + o(1)}\right) $$  [Ha59]  Hardy, G. H. (1959). _Ramanujan: Twelve Lectures on Subjects Suggested by His Life and Work_(3rd ed.). New York: Chelsea Publishing Company. p. 67  See also https://arxiv.org/abs/2305.03549	: ∃ (o : ℝ → ℝ) (_ : Tendsto o atTop (𝓝 0)),     E =O[atTop] fun r => r ^ (1/2 + o r)
S5-CLM-00005197	Gilbreath.gilbreath_conjecture	**Gilbreath's conjecture** Gilbreath's conjecture states that every term in the sequence $d^k_0$ for $k > 0$ is equal to 1.	(k : ℕ+) : d k 0 = 1
S5-CLM-00005200	Goormaghtigh.goormaghtigh_conjecture	The only Goormaghtigh numbers are $31$ and $8191$.	(N : ℕ) (hN : IsGoormaghtighNumber N) :     N = 31 ∨ N = 8191
S5-CLM-00005201	GracefulLabeling.graceful_tree_conjecture	Every tree admits a graceful labeling.  A graceful labeling of a tree $T$ with $m$ edges is an injective map $f : V \to \{0, \dots, m\}$ such that the multiset of absolute differences $|f(u) - f(v)|$ over edges $\{u,v\}$ of $T$ equals $\{1, \dots, m\}$.	{V : Type*} [Fintype V] [DecidableEq V]     (T : SimpleGraph V) [DecidableRel T.Adj] (hT : T.IsTree) :     let m := T.edgeFinset.card     ∃ f : V → ℕ,       Function.Injective f ∧       (∀ v, f v ≤ m) ∧       T.edgeFinset.image (fun e =>         e.lift ⟨fun u v => Int.natAbs ((f u : ℤ) - (f v : ℤ)),                 fun u v => by                   show ((f u : ℤ) - f v).natAbs = ((f v : ℤ) - f u).natAbs                   rw [← Int.natAbs_neg, neg_sub]⟩) = Finset.Icc 1 m
